name,x_um,y_um,power_W
147,0.035,887.81,0.88239396
148,0.035,891.45,1.4298818
149,0.035,895.09,0.994037
150,0.035,898.73,0.8761182
151,0.035,902.37,0.6168917
152,0.035,906.01,0.47774723
153,0.035,909.65,0.76849324
154,0.035,913.43,0.91364485
155,0.035,917.07,1.8933953
156,0.035,920.71,0.983448
157,0.035,924.35,1.3830559
158,0.035,927.99,0.7645112
159,0.035,931.63,0.5811317
160,0.035,935.27,0.634545
161,0.035,938.91,0.6984506
162,0.035,942.69,2.1871243
163,0.035,946.33,0.6720954
164,0.035,949.97,1.3055121
165,0.035,953.61,0.65052783
166,0.035,957.25,1.3550372
167,0.035,960.89,1.0889131
168,0.035,964.53,0.8768183
169,0.035,968.17,0.91841555
170,0.035,971.95,0.7184096
171,0.035,975.59,1.1158636
172,0.035,979.23,0.77818286
173,0.035,982.87,0.5717562
174,0.035,986.51,0.55991215
175,0.035,990.15,1.0002348
176,0.035,993.79,1.7556448
177,0.035,997.57,0.99520785
178,0.035,1001.21,0.8902476
179,0.035,1004.85,1.0465826
180,0.035,1008.49,1.5739689
181,0.035,1012.13,1.0191334
182,0.035,1015.77,0.79201794
183,0.035,1019.41,1.4531232
184,0.035,1023.05,1.1081614
185,0.035,1026.83,1.7254745
186,0.035,1030.47,1.0045036
187,0.035,1034.11,0.57201624
188,0.035,1037.75,0.54006594
189,0.035,1041.39,1.8068244
190,0.035,1045.03,1.8601664
191,0.035,1048.67,0.86882985
192,0.035,1052.31,0.8008551
193,0.035,1056.09,1.6749401
194,0.035,1059.73,0.5995244
195,0.035,1063.37,0.65266514
196,0.035,1067.01,1.2074738
197,0.035,1070.65,0.7972058
198,0.035,1074.29,0.9316025
199,0.035,1077.93,0.8744348
200,0.035,1081.71,1.0684719
201,0.035,1085.35,1.639174
202,0.035,1088.99,0.9679582
203,0.035,1092.63,1.2077694
204,0.035,1096.27,0.4111204
205,0.035,1099.91,0.9154975
206,0.035,1103.55,0.66624856
207,0.035,1107.19,0.5733118
208,0.035,1110.97,0.65700656
209,0.035,1114.61,0.8167276
210,0.035,1118.25,1.3465701
211,0.035,1121.89,0.5491644
212,0.035,1125.53,0.9450214
213,0.035,1129.17,0.7691509
214,0.035,1132.81,0.8188376
215,0.035,1136.45,1.3941749
216,0.035,1140.23,1.1577122
